Ip,typea,typeb,typea+b,typea.b, time
'172.16.105.59',5.8,5.9,5.2,5.7,1491670800
'172.16.101.236',0,0,0,0,
'172.16.99.204',7.8,7.4,7.6,7,1491673592
'172.16.104.153',0,0,0,0,
'172.16.100.81',0,0,0,0,
'10.18.118.136',0,0,0,0,
'172.16.98.86',5.3,7.2,5.4,7.1,1491669603
'172.16.103.217',0,0,0,0,
'172.16.101.151',0,0,0,0,
172.16.248.52',5.6,5.4,5.9,5.4,1491669643
'172.16.104.242',0,0,0,0,
'172.16.68.30',0,0,0,0,
'172.16.68.31',4.8,7.6,4.7,7.2,1491670858
'172.16.68.10',0,0,0,0,
'172.16.110.163',0,0,0,0,
'172.16.102.59',4.4,6,5.72,5.9,1491670800
'172.16.98.86',5.1,5.9,5.7,5.5,1491656583
'172.16.98.86',5.8,5.8,5.3,5.8,1491656463
