
macaddr,os,accuracy,bool,osfamily,type,vendor,port
00:1E:64:EE:9E:8B,FreeBSD6.2-RELEASE,94,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,FreeBSD6.2-RELEASE,94,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
00:1E:64:EE:9E:8B,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
