
macaddr,filtered_ports,ipv4,timestamp,unfiltered_ports,ratio:fil/unfil ports,vendor
00:08:22:44:C6:EA,977,00:08:22:44:C6:EA,14308,23,42.47826086956522,InPro Comm
00:1E:64:EE:9E:8B,999,00:1E:64:EE:9E:8B,17764,1,999.0,Intel Corporate
00:1E:64:EE:9E:8B,999,00:1E:64:EE:9E:8B,14373,1,999.0,Intel Corporate
08:D4:0C:F6:CD:4F,774,08:D4:0C:F6:CD:4F,9021,226,3.424778761061947,Intel Corporate
10:08:B1:64:D1:6F,996,10:08:B1:64:D1:6F,8466,4,249.0,Hon Hai Precision Ind.
10:08:B1:64:D1:6F,995,10:08:B1:64:D1:6F,18116,5,199.0,Hon Hai Precision Ind.
10:92:66:CE:EA:B8,819,10:92:66:CE:EA:B8,18044,181,4.524861878453039,Samsung Electronics
14:2D:27:A6:2C:AB,997,14:2D:27:A6:2C:AB,17764,3,332.3333333333333,Hon Hai Precision Ind.
14:2D:27:D0:D4:9F,996,14:2D:27:D0:D4:9F,14373,4,249.0,Hon Hai Precision Ind.
18:D6:C7:1C:39:17,996,18:D6:C7:1C:39:17,14373,4,249.0,null
20:A2:E4:4E:D9:3A,652,20:A2:E4:4E:D9:3A,14373,348,1.8735632183908046,Apple
24:DA:9B:F8:89:4F,756,24:DA:9B:F8:89:4F,18048,244,3.098360655737705,Motorola Mobility, a Lenovo Company
28:C2:DD:A8:4C:15,999,28:C2:DD:A8:4C:15,17764,1,999.0,AzureWave Technology
2C:D0:5A:DD:16:AA,997,2C:D0:5A:DD:16:AA,17764,3,332.3333333333333,Liteon Technology
30:10:B3:BA:B6:E5,998,30:10:B3:BA:B6:E5,17764,2,499.0,Liteon Technology
30:10:B3:BA:B6:E5,998,30:10:B3:BA:B6:E5,14373,2,499.0,Liteon Technology
30:10:B3:BA:B6:E5,998,30:10:B3:BA:B6:E5,9021,2,499.0,Liteon Technology
30:75:12:C4:C2:B5,606,30:75:12:C4:C2:B5,14308,394,1.5380710659898478,Sony Mobile Communications AB
34:23:87:2D:90:DD,989,34:23:87:2D:90:DD,17764,11,89.9090909090909,Hon Hai Precision Ind.
34:AB:37:6B:BA:28,629,34:AB:37:6B:BA:28,14373,371,1.6954177897574123,Apple
34:DE:1A:3C:67:11,989,34:DE:1A:3C:67:11,8466,11,89.9090909090909,Intel Corporate
38:B1:DB:44:4E:8B,999,38:B1:DB:44:4E:8B,17764,1,999.0,Hon Hai Precision Ind.
38:B1:DB:ED:65:8F,639,38:B1:DB:ED:65:8F,17659,361,1.7700831024930748,Hon Hai Precision Ind.
3C:77:E6:DB:05:57,999,3C:77:E6:DB:05:57,18116,1,999.0,Hon Hai Precision Ind.
40:C6:2A:34:79:11,622,40:C6:2A:34:79:11,18046,378,1.6455026455026456,Shanghai Jing Ren Electronic Technology
40:F0:2F:1F:69:FA,931,40:F0:2F:1F:69:FA,14373,69,13.492753623188406,Liteon Technology
40:F0:2F:D3:81:31,998,40:F0:2F:D3:81:31,17764,2,499.0,Liteon Technology
48:5A:B6:C9:32:FD,995,48:5A:B6:C9:32:FD,8466,5,199.0,Hon Hai Precision Ind.
48:D2:24:30:CA:D8,999,48:D2:24:30:CA:D8,327,1,999.0,Liteon Technology
48:D2:24:40:B6:CB,999,48:D2:24:40:B6:CB,17764,1,999.0,Liteon Technology
48:E2:44:BD:AF:FD,999,48:E2:44:BD:AF:FD,18116,1,999.0,Hon Hai Precision Ind.
48:E2:44:D0:4C:79,999,48:E2:44:D0:4C:79,14373,1,999.0,Hon Hai Precision Ind.
4C:BB:58:32:24:B1,999,4C:BB:58:32:24:B1,8466,1,999.0,Chicony Electronics
50:8F:4C:80:32:B3,791,50:8F:4C:80:32:B3,17666,209,3.784688995215311,null
50:8F:4C:98:DD:4D,648,50:8F:4C:98:DD:4D,8426,352,1.8409090909090908,null
54:27:1E:17:32:65,997,54:27:1E:17:32:65,17764,3,332.3333333333333,AzureWave Technology
54:27:1E:17:32:65,995,54:27:1E:17:32:65,14373,5,199.0,AzureWave Technology
58:00:E3:8A:4F:2F,999,58:00:E3:8A:4F:2F,18116,1,999.0,null
5C:99:60:FF:D8:1F,996,5C:99:60:FF:D8:1F,9021,4,249.0,null
60:6D:C7:29:F6:F1,996,60:6D:C7:29:F6:F1,17764,4,249.0,Hon Hai Precision Ind.
60:6D:C7:29:F6:F1,995,60:6D:C7:29:F6:F1,14373,5,199.0,Hon Hai Precision Ind.
60:6D:C7:A0:7E:C3,998,60:6D:C7:A0:7E:C3,18116,2,499.0,Hon Hai Precision Ind.
64:27:37:A1:53:4F,979,64:27:37:A1:53:4F,9021,21,46.61904761904762,Hon Hai Precision Ind.
64:5A:04:6B:FC:23,719,64:5A:04:6B:FC:23,17764,281,2.5587188612099645,Chicony Electronics
64:5A:04:6B:FC:23,647,64:5A:04:6B:FC:23,14373,353,1.8328611898016998,Chicony Electronics
74:29:AF:F7:52:DF,993,74:29:AF:F7:52:DF,9021,7,141.85714285714286,Hon Hai Precision Ind.
74:29:AF:F8:0D:5F,999,74:29:AF:F8:0D:5F,17764,1,999.0,Hon Hai Precision Ind.
74:29:AF:F8:0D:5F,999,74:29:AF:F8:0D:5F,14373,1,999.0,Hon Hai Precision Ind.
74:DF:BF:5B:2A:59,997,74:DF:BF:5B:2A:59,18116,3,332.3333333333333,null
80:56:F2:2A:9D:03,956,80:56:F2:2A:9D:03,17764,44,21.727272727272727,Hon Hai Precision Ind.
80:6C:1B:F2:54:97,793,80:6C:1B:F2:54:97,17664,207,3.8309178743961354,Motorola Mobility, a Lenovo Company
84:BE:52:84:99:51,749,84:BE:52:84:99:51,14311,251,2.9840637450199203,null
90:48:9A:2D:F1:93,998,90:48:9A:2D:F1:93,8466,2,499.0,Hon Hai Precision Ind.
94:65:2D:02:BB:79,780,94:65:2D:02:BB:79,18044,220,3.5454545454545454,null
A0:D3:7A:88:CD:4F,975,A0:D3:7A:88:CD:4F,17666,25,39.0,Intel Corporate
A0:D3:7A:8A:42:01,997,A0:D3:7A:8A:42:01,17764,3,332.3333333333333,Intel Corporate
A4:70:D6:9A:81:78,714,A4:70:D6:9A:81:78,14309,286,2.4965034965034967,Motorola Mobility, a Lenovo Company
A4:DB:30:DF:8F:8E,999,A4:DB:30:DF:8F:8E,17764,1,999.0,Liteon Technology
