
 macaadr, portid,protocol ,state,reason,reason_ttl,sevice_name,product,version,method,config
00:08:22:44:C6:EA,3,tcp,filtered,no-response,0,compressnet,None,None,table,3
00:08:22:44:C6:EA,79,tcp,filtered,no-response,0,finger,None,None,table,3
00:08:22:44:C6:EA,425,tcp,filtered,no-response,0,icad-el,None,None,table,3
00:08:22:44:C6:EA,687,tcp,filtered,no-response,0,asipregistry,None,None,table,3
00:08:22:44:C6:EA,1011,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,1079,tcp,filtered,no-response,0,asprovatalk,None,None,table,3
00:08:22:44:C6:EA,1098,tcp,filtered,no-response,0,rmiactivation,None,None,table,3
00:08:22:44:C6:EA,1199,tcp,filtered,no-response,0,dmidi,None,None,table,3
00:08:22:44:C6:EA,1334,tcp,filtered,no-response,0,writesrv,None,None,table,3
00:08:22:44:C6:EA,2033,tcp,filtered,no-response,0,glogger,None,None,table,3
00:08:22:44:C6:EA,2065,tcp,filtered,no-response,0,dlsrpn,None,None,table,3
00:08:22:44:C6:EA,3546,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,3971,tcp,filtered,no-response,0,lanrevserver,None,None,table,3
00:08:22:44:C6:EA,3986,tcp,filtered,no-response,0,mapper-ws_ethd,None,None,table,3
00:08:22:44:C6:EA,5666,tcp,filtered,no-response,0,nrpe,None,None,table,3
00:08:22:44:C6:EA,5815,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,5910,tcp,filtered,no-response,0,cm,None,None,table,3
00:08:22:44:C6:EA,8291,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,8600,tcp,filtered,no-response,0,asterix,None,None,table,3
00:08:22:44:C6:EA,9220,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,9418,tcp,filtered,no-response,0,git,None,None,table,3
00:08:22:44:C6:EA,9666,tcp,filtered,no-response,0,unknown,None,None,table,3
00:08:22:44:C6:EA,50002,tcp,filtered,no-response,0,iiimsf,None,None,table,3
00:1E:64:EE:9E:8B,5357,tcp,open,syn-ack,128,http,Microsoft HTTPAPI httpd,2.0,probed,10
00:1E:64:EE:9E:8B,5357,tcp,open,syn-ack,128,http,Microsoft HTTPAPI httpd,2.0,probed,10
08:D4:0C:F6:CD:4F,80,tcp,open,syn-ack,64,tcpwrapped,None,None,probed,8
10:08:B1:64:D1:6F,135,tcp,open,syn-ack,128,msrpc,Microsoft Windows RPC,None,probed,10
10:08:B1:64:D1:6F,139,tcp,open,syn-ack,128,netbios-ssn,Microsoft Windows 98 netbios-ssn,None,probed,10
10:08:B1:64:D1:6F,445,tcp,open,syn-ack,128,microsoft-ds,Microsoft Windows 7 or 10 microsoft-ds,None,probed,10
